Log created	2023/03/05 00:02:48.218
13:30:59.826	Exit Analysis Complete (4), Sequence Index: 6, Channel: 1
13:31:00.575	Show Pattern entered #6, for sequence step #: 8
13:31:00.575	Exposure Complete (5), Sequence Index: 7, Channel: 1. Exposure truly complete: 2023/03/05 13:31:00.574
13:31:00.679	Sent : CHGPTN 203
13:31:00.682	Sent Doone: ChangePattern 203
13:31:01.812	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:01.816	Received ACK from Doone.
13:31:01.829	Waited for the PG Ready:	1142ms
13:31:01.832	Delay: 100 (ms)
13:31:01.936	Show Pattern sent #6, for sequence step #: 8
13:31:02.150	Show Pattern entered #7, for sequence step #: 10
13:31:02.150	Exposure Complete (6), Sequence Index: 8, Channel: 1. Exposure truly complete: 2023/03/05 13:31:02.150
13:31:02.255	Sent : CHGPTN 204
13:31:02.259	Sent Doone: ChangePattern 204
13:31:03.429	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:03.440	Received ACK from Doone.
13:31:03.447	Waited for the PG Ready:	1185ms
13:31:03.455	Delay: 100 (ms)
13:31:03.560	Show Pattern sent #7, for sequence step #: 10
13:31:03.944	Enter Analysis Complete (5), Sequence Index: 8, Channel: 1
13:31:03.955	Points of Interest (Max/Min)*100 Result = 93.5469
13:31:03.959	Exit Analysis Complete (5), Sequence Index: 8, Channel: 1
13:31:04.122	Show Pattern entered #8, for sequence step #: 12
13:31:04.122	Exposure Complete (7), Sequence Index: 10, Channel: 1. Exposure truly complete: 2023/03/05 13:31:04.121
13:31:04.228	Sent : CHGPTN 209
13:31:04.236	Sent Doone: ChangePattern 209
13:31:04.307	Enter Analysis Complete (6), Sequence Index: 7, Channel: 1
13:31:04.310	Exit Analysis Complete (6), Sequence Index: 7, Channel: 1
13:31:05.419	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:05.426	Received ACK from Doone.
13:31:05.436	Waited for the PG Ready:	1194ms
13:31:05.442	Delay: 100 (ms)
13:31:05.555	Show Pattern sent #8, for sequence step #: 12
13:31:05.570	Enter Analysis Complete (7), Sequence Index: 10, Channel: 1
13:31:05.588	Points of Interest (Max/Min)*100 Result = 93.02
13:31:05.594	Exit Analysis Complete (7), Sequence Index: 10, Channel: 1
13:31:06.624	Enter Analysis Complete (8), Sequence Index: 9, Channel: 1
13:31:06.628	Exit Analysis Complete (8), Sequence Index: 9, Channel: 1
13:31:07.892	Enter Analysis Complete (9), Sequence Index: 11, Channel: 1
13:31:07.895	Exit Analysis Complete (9), Sequence Index: 11, Channel: 1
13:31:09.695	Show Pattern entered #9, for sequence step #: 13
13:31:09.695	Exposure Complete (8), Sequence Index: 12, Channel: 1. Exposure truly complete: 2023/03/05 13:31:09.695
13:31:09.801	Sent : CHGPTN 210
13:31:09.804	Sent Doone: ChangePattern 210
13:31:10.920	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:10.924	Received ACK from Doone.
13:31:10.941	Waited for the PG Ready:	1133ms
13:31:10.944	Delay: 100 (ms)
13:31:11.049	Show Pattern sent #9, for sequence step #: 13
13:31:13.322	Enter Analysis Complete (10), Sequence Index: 12, Channel: 1
13:31:13.325	Exit Analysis Complete (10), Sequence Index: 12, Channel: 1
13:31:15.178	Show Pattern entered #10, for sequence step #: 14
13:31:15.178	Exposure Complete (9), Sequence Index: 13, Channel: 1. Exposure truly complete: 2023/03/05 13:31:15.178
13:31:15.284	Sent : CHGPTN 207
13:31:15.287	Sent Doone: ChangePattern 207
13:31:16.404	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:16.408	Received ACK from Doone.
13:31:16.416	Waited for the PG Ready:	1125ms
13:31:16.419	Delay: 100 (ms)
13:31:16.523	Show Pattern sent #10, for sequence step #: 14
13:31:16.740	Show Pattern entered #11, for sequence step #: 16
13:31:16.740	Exposure Complete (10), Sequence Index: 14, Channel: 1. Exposure truly complete: 2023/03/05 13:31:16.740
13:31:16.846	Sent : CHGPTN 208
13:31:16.854	Sent Doone: ChangePattern 208
13:31:18.101	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:18.105	Received ACK from Doone.
13:31:18.120	Waited for the PG Ready:	1259ms
13:31:18.123	Delay: 100 (ms)
13:31:18.227	Show Pattern sent #11, for sequence step #: 16
13:31:18.337	Enter Analysis Complete (11), Sequence Index: 14, Channel: 1
13:31:18.341	Points of Interest (Max/Min)*100 Result = 94.0027
13:31:18.345	Exit Analysis Complete (11), Sequence Index: 14, Channel: 1
13:31:18.437	Show Pattern entered #12, for sequence step #: 18
13:31:18.437	Exposure Complete (11), Sequence Index: 16, Channel: 1. Exposure truly complete: 2023/03/05 13:31:18.437
13:31:18.546	Sent : CHGPTN 213
13:31:18.554	Sent Doone: ChangePattern 213
13:31:18.968	Enter Analysis Complete (12), Sequence Index: 13, Channel: 1
13:31:18.975	Exit Analysis Complete (12), Sequence Index: 13, Channel: 1
13:31:19.748	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:19.764	Received ACK from Doone.
13:31:19.781	Waited for the PG Ready:	1221ms
13:31:19.790	Delay: 100 (ms)
13:31:19.895	Show Pattern sent #12, for sequence step #: 18
13:31:20.343	Enter Analysis Complete (13), Sequence Index: 16, Channel: 1
13:31:20.361	Points of Interest (Max/Min)*100 Result = 93.3744
13:31:20.364	Exit Analysis Complete (13), Sequence Index: 16, Channel: 1
13:31:20.461	Enter Analysis Complete (14), Sequence Index: 15, Channel: 1
13:31:20.465	Exit Analysis Complete (14), Sequence Index: 15, Channel: 1
13:31:22.201	Enter Analysis Complete (15), Sequence Index: 17, Channel: 1
13:31:22.205	Exit Analysis Complete (15), Sequence Index: 17, Channel: 1
13:31:23.052	Show Pattern entered #13, for sequence step #: 19
13:31:23.052	Exposure Complete (12), Sequence Index: 18, Channel: 1. Exposure truly complete: 2023/03/05 13:31:23.052
13:31:23.158	Sent : CHGPTN 214
13:31:23.161	Sent Doone: ChangePattern 214
13:31:24.326	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:24.330	Received ACK from Doone.
13:31:24.343	Waited for the PG Ready:	1178ms
13:31:24.346	Delay: 100 (ms)
13:31:24.450	Show Pattern sent #13, for sequence step #: 19
13:31:26.485	Enter Analysis Complete (16), Sequence Index: 18, Channel: 1
13:31:26.488	Exit Analysis Complete (16), Sequence Index: 18, Channel: 1
13:31:27.276	Exposure Complete (13), Sequence Index: 19, Channel: 1. Exposure truly complete: 2023/03/05 13:31:27.276
13:31:27.276	Show Pattern entered #14, for sequence step #: 20
13:31:27.387	Sent : CHGPTN 211
13:31:27.390	Sent Doone: ChangePattern 211
13:31:28.511	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:28.514	Received ACK from Doone.
13:31:28.525	Waited for the PG Ready:	1131ms
13:31:28.528	Delay: 100 (ms)
13:31:28.632	Show Pattern sent #14, for sequence step #: 20
13:31:28.847	Exposure Complete (14), Sequence Index: 20, Channel: 1. Exposure truly complete: 2023/03/05 13:31:28.847
13:31:28.847	Show Pattern entered #15, for sequence step #: 22
13:31:28.957	Sent : CHGPTN 212
13:31:28.965	Sent Doone: ChangePattern 212
13:31:30.108	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:30.112	Received ACK from Doone.
13:31:30.122	Waited for the PG Ready:	1152ms
13:31:30.125	Delay: 100 (ms)
13:31:30.233	Show Pattern sent #15, for sequence step #: 22
13:31:30.427	Enter Analysis Complete (17), Sequence Index: 20, Channel: 1
13:31:30.436	Points of Interest (Max/Min)*100 Result = 94.7539
13:31:30.439	Exit Analysis Complete (17), Sequence Index: 20, Channel: 1
13:31:30.529	Show Pattern entered #16, for sequence step #: 24
13:31:30.533	Delay: 100 (ms)
13:31:30.529	Exposure Complete (15), Sequence Index: 22, Channel: 1. Exposure truly complete: 2023/03/05 13:31:30.529
13:31:30.644	Sent : CHGPTNDONE
13:31:30.644	Show Pattern sent #16, for sequence step #: 24
13:31:30.648	Sent DooneChgPtnDone
13:31:31.170	Enter Analysis Complete (18), Sequence Index: 19, Channel: 1
13:31:31.174	Exit Analysis Complete (18), Sequence Index: 19, Channel: 1
13:31:32.580	Exposure Complete (16), Sequence Index: 24, Channel: 1. Exposure truly complete: 2023/03/05 13:31:32.580
13:31:32.590	Enter Analysis Complete (19), Sequence Index: 22, Channel: 1
13:31:32.607	Points of Interest (Max/Min)*100 Result = 93.9419
13:31:32.611	Exit Analysis Complete (19), Sequence Index: 22, Channel: 1
13:31:32.723	Enter Analysis Complete (20), Sequence Index: 21, Channel: 1
13:31:32.727	Exit Analysis Complete (20), Sequence Index: 21, Channel: 1
13:31:34.633	Enter Analysis Complete (21), Sequence Index: 23, Channel: 1
13:31:34.636	Exit Analysis Complete (21), Sequence Index: 23, Channel: 1
13:31:57.982	Enter Analysis Complete (22), Sequence Index: 24, Channel: 1
13:31:57.986	ScratchDustDetect succeeded on attempt #1
13:31:57.990	ScratchDustDetect performed
13:31:57.995	Dove2.0 PG received Bin File Path name from analysis: E:\POCB\HEX\20230305\D953-CB-A_V6p1\A4YS2B002906AE7_20230305133132\NyPucData_A4YS2B002906AE7_PUC_1G1O.txt and device resolution: 1179,2556
13:31:57.999	Sending Doone CorrectionData
13:31:58.212	Sent : POCBDATA RMD 708618
13:31:58.216	Sent Doone CorrectionData with data size: 708618, and Demura Mode: RMD
13:31:58.234	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:58.238	Received ACK from Doone.
13:31:58.251	Waited for the PG Ready:	31ms
13:31:58.294	Enter Sequence Complete, # Analyses Complete: 21, Cancel reason: , TT Ended: False
13:31:58.298	Waiting for all analyses to complete
13:31:58.355	Sent : POCBPATH E:\POCB\HEX\20230305\D953-CB-A_V6p1\A4YS2B002906AE7_20230305133132\NyPucData_A4YS2B002906AE7_PUC_1G1O.txt
13:31:58.358	Exit Analysis Complete (22), Sequence Index: 24, Channel: 1
13:31:58.355	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:31:58.364	Received ACK from Doone.
13:32:11.860	Message Size: 12; Checksum: 12; Payload length: 1, Payload: END
13:32:11.863	Received End Demura Inspection command.
13:32:11.967	Sent : ACK
13:32:11.970	Sent END Demura Inspection response: ACK
13:32:11.975	All analyses complete
13:32:11.986	Wrote CCD Line results
13:32:11.990	Calling Generate Unit Results
13:32:11.993	Start writing Result report
13:32:12.000	End writing Result report
13:32:12.003	Back from Calling Generate Unit Results
13:32:12.107	Sent : RESULT OK -1.00 -1.00 -1.00 -1.00 -1.00 25 INFO=DUTROTANGLE,0.04,DUTWIDTH,2961,DUTHEIGHT,6418,DUTSHIFTX,20,DUTSHIFTY,-3.5,MTF,89.71,MTF_CENTER,89.90,MTF_UL,90.58,MTF_UR,85.54,MTF_LL,90.88,MTF_LR,88.80,KeystoneH,0.0249,KeystoneV,0.0255,CCD_G36-1,0.41,CCD_G36-2,0.77,CCD_G36-3,0.13,CCD_G36-4,0.62,CCD_G36-5,0.11,CCD_G36-6,0.37,CCD_G36-7,0.59,CCD_G36-8,0.41,CCD_G36-9,0.19,CCD_G36-10,0.16,CCD_G32-1,0.45,CCD_G32-2,0.78,CCD_G32-3,0.23,CCD_G32-4,0.61,CCD_G32-5,0.02,CCD_G32-6,0.51,CCD_G32-7,0.64,CCD_G32-8,0.44,CCD_G32-9,0.18,CCD_G32-10,0.13,CCD_G216-1,0.17,CCD_G216-2,0.47,CCD_G216-3,0.09,CCD_G216-4,0.25,CCD_G216-5,0.13,CCD_G216-6,0.08,CCD_G216-7,0.21,CCD_G216-8,0.21,CCD_G216-9,0.13,CCD_G216-10,0.14,CCD_G192-1,0.17,CCD_G192-2,0.47,CCD_G192-3,0.09,CCD_G192-4,0.28,CCD_G192-5,0.16,CCD_G192-6,0.09,CCD_G192-7,0.23,CCD_G192-8,0.33,CCD_G192-9,0.13,CCD_G192-10,0.20,CCD_R36-1,0.91,CCD_R36-2,0.56,CCD_R36-3,0.25,CCD_R36-4,1.46,CCD_R36-5,0.65,CCD_R36-6,0.59,CCD_R36-7,0.45,CCD_R36-8,0.31,CCD_R36-9,0.61,CCD_R36-10,0.23,CCD_R32-1,0.96,CCD_R32-2,0.65,CCD_R32-3,0.37,CCD_R32-4,1.69,CCD_R32-5,0.70,CCD_R32-6,0.58,CCD_R32-7,0.42,CCD_R32-8,0.35,CCD_R32-9,0.60,CCD_R32-10,0.20,CCD_R216-1,0.19,CCD_R216-2,0.01,CCD_R216-3,0.10,CCD_R216-4,0.20,CCD_R216-5,0.31,CCD_R216-6,0.19,CCD_R216-7,0.39,CCD_R216-8,0.33,CCD_R216-9,0.26,CCD_R216-10,0.13,CCD_R192-1,0.27,CCD_R192-2,0.11,CCD_R192-3,0.04,CCD_R192-4,0.35,CCD_R192-5,0.33,CCD_R192-6,0.20,CCD_R192-7,0.48,CCD_R192-8,0.35,CCD_R192-9,0.25,CCD_R192-10,0.09,CCD_B36-1,0.22,CCD_B36-2,0.71,CCD_B36-3,0.10,CCD_B36-4,0.61,CCD_B36-5,0.48,CCD_B36-6,0.31,CCD_B36-7,0.21,CCD_B36-8,0.55,CCD_B36-9,0.22,CCD_B36-10,0.25,CCD_B32-1,0.19,CCD_B32-2,0.64,CCD_B32-3,0.06,CCD_B32-4,0.65,CCD_B32-5,0.41,CCD_B32-6,0.29,CCD_B32-7,0.26,CCD_B32-8,0.49,CCD_B32-9,0.12,CCD_B32-10,0.31,CCD_B216-1,0.08,CCD_B216-2,0.11,CCD_B216-3,0.11,CCD_B216-4,0.08,CCD_B216-5,0.12,CCD_B216-6,0.20,CCD_B216-7,0.25,CCD_B216-8,0.22,CCD_B216-9,0.12,CCD_B216-10,0.15,CCD_B192-1,0.12,CCD_B192-2,0.19,CCD_B192-3,0.09,CCD_B192-4,0.14,CCD_B192-5,0.18,CCD_B192-6,0.20,CCD_B192-7,0.27,CCD_B192-8,0.21,CCD_B192-9,0.20,CCD_B192-10,0.17 NA
13:32:12.112	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:32:12.115	Received ACK from Doone.
13:32:12.126	Waited for the PG Ready:	15ms
13:32:12.128	Defect report is nothing, not writing Defect report
13:32:12.130	Moire report is nothing, not writing Moire report
13:32:12.133	PWMSignal report is nothing, not writing PWMSignal report
13:32:12.136	Exitting Sequence Complete
13:32:12.139	Enter Sequence Completed
13:32:12.142	Exitting Sequence Completed
13:45:42.948	Message Size: 17; Checksum: 17; Payload length: 1, Payload: SEQCHECK
13:45:42.952	Received SEQCHECK command
13:45:42.955	Sequence Calibration None Check Started
13:45:42.955	Sequence Calibration Compare Started
13:45:42.958	Sequence Calibration None Check Finished, OK
13:45:42.955	Sequence Parameter Check Started
13:45:43.062	Sequence Calibration Compare Finished, OK
13:45:46.181	Sequence Parameter Check Finished, OK
13:45:46.285	Sent : SEQCHECKDONE OK
13:45:50.424	Message Size: 13; Checksum: 13; Payload length: 1, Payload: PING
13:45:50.428	Received PING from Doone.
13:45:50.532	Sent : ACK
13:45:50.535	Sent PING response: ACK
13:45:51.736	Message Size: 71; Checksum: 71; Payload length: 5, Payload: FTPUPLOAD LH612WF2 HNAMAL44JW04 A4YS2B002907ABB 20230305135515
13:45:51.740	Received FTPUPLOAD command: FTPUPLOAD
13:45:51.844	Sent : ACK
13:45:51.847	Sent FTPUPLOAD response: ACK
13:45:51.868	Message Size: 57624; Checksum: 249; Payload length: 2, Payload: POCBGAMMA 57600
13:45:51.872	Received Gamma data command.
13:45:51.877	Wrote Hex File to: C:\POCB\INPUT\d850_gamma.hex
13:45:51.984	Sent : ACK
13:45:51.988	Sent Gamma data response: ACK
13:45:52.249	Message Size: 358; Checksum: 103; Payload length: 3, Payload: START A4YS2B002907ABB 0323
13:45:52.253	Received Start Demura Inspection command.
13:45:52.256	Attempt to obtain OTP Data from start command.
13:45:52.258	Current OTP Data Template file: C:\POCB\OTP\pocb_otp_read(D953-CB-A_V6p1).txt
13:45:52.269	Wrote OTP File: C:\POCB\OTP\pocb_otp_read.txt
13:45:52.272	Camera Temperature: 25
13:45:52.275	Received Serial Number: A4YS2B002907ABB
13:45:52.378	Sent : ACK
13:45:52.381	Sent START Demura Inspection response: ACK
13:45:52.405	Enter PrepareForSequenceRunAll
13:45:52.409	PrepareForSequenceRunAll, Completed clearing variables 1
13:45:52.413	PrepareForSequenceRunAll, Completed clearing variables 2
13:45:52.416	PrepareForSequenceRunAll, Completed clearing variables 3
13:45:52.418	PrepareForSequenceRunAll, Completed clearing DemuraTimeout Task
13:45:52.421	PrepareForSequenceRunAll, Completed initialize hotcoldpixels 1
13:45:52.424	PrepareForSequenceRunAll, Completed initialize hotcoldpixels 2
13:45:52.428	PrepareForSequenceRunAll, Completed deleting C:\POCB\Hex folder
13:45:52.431	PrepareForSequenceRunAll, Completed setting starttime
13:45:52.434	Sequence Started
13:45:52.437	Final Mode: None
13:45:52.439	Demura Step(s): 24
13:45:52.442	Final demura Measurement Step(s): 22
13:45:52.445	This Sequence will require 15 camera exposures.
13:45:52.448	This Sequence will require 15 show patterns.
13:45:52.451	This Sequence will require 22 analyses.
13:45:52.638	Show Pattern entered #1, for sequence step #: 1
13:45:52.743	Sent : CHGPTN 200
13:45:52.747	Sent Doone: ChangePattern 200
13:45:53.927	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:45:53.931	Received ACK from Doone.
13:45:53.943	Waited for the PG Ready:	1193ms
13:45:53.945	Delay: 100 (ms)
13:45:54.049	Show Pattern sent #1, for sequence step #: 1
13:45:54.262	Exposure Complete (1), Sequence Index: 1, Channel: 1. Exposure truly complete: 2023/03/05 13:45:54.262
13:45:54.262	Show Pattern entered #2, for sequence step #: 2
13:45:54.371	Sent : CHGPTN 201
13:45:54.374	Sent Doone: ChangePattern 201
13:45:55.546	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:45:55.550	Received ACK from Doone.
13:45:55.557	Waited for the PG Ready:	1179ms
13:45:55.560	Delay: 100 (ms)
13:45:55.663	Show Pattern sent #2, for sequence step #: 2
13:45:55.886	Exposure Complete (2), Sequence Index: 2, Channel: 1. Exposure truly complete: 2023/03/05 13:45:55.885
13:45:55.886	Show Pattern entered #3, for sequence step #: 3
13:45:55.999	Sent : CHGPTN 202
13:45:56.005	Sent Doone: ChangePattern 202
13:45:57.125	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:45:57.130	Received ACK from Doone.
13:45:57.141	Waited for the PG Ready:	1129ms
13:45:57.144	Delay: 100 (ms)
13:45:57.248	Show Pattern sent #3, for sequence step #: 3
13:45:57.483	Show Pattern entered #4, for sequence step #: 6
13:45:57.486	Exposure Complete (3), Sequence Index: 3, Channel: 1. Exposure truly complete: 2023/03/05 13:45:57.483
13:45:57.597	Sent : CHGPTN 205
13:45:57.602	Sent Doone: ChangePattern 205
13:45:57.849	Enter Analysis Complete (1), Sequence Index: 2, Channel: 1
13:45:57.853	Exit Analysis Complete (1), Sequence Index: 2, Channel: 1
13:45:58.748	Message Size: 12; Checksum: 12; Payload length: 1, Payload: ACK
13:45:58.752	Received ACK from Doone.
13:45:58.763	Waited for the PG Ready:	1156ms
13:45:58.766	Delay: 100 (ms)
13:45:58.871	Show Pattern sent #4, for sequence step #: 6
13:45:59.431	Enter Analysis Complete (2), Sequence Index: 3, Channel: 1
13:45:59.437	Exit Analysis Complete (2), Sequence Index: 3, Channel: 1
13:46:01.268	Enter Analysis Complete (3), Sequence Index: 1, Channel: 1
13:46:01.272	Exit Analysis Complete (3), Sequence Index: 1, Channel: 1
13:46:02.104	Show Pattern entered #5, for sequence step #: 7
13:46:02.104	Exposure Complete (4), Sequence Index: 6, Channel: 1. Exposure truly complete: 2023/03/05 13:46:02.104
13:46:02.210	Sent : CHGPTN 206
13:46:02.213	Sent Doone: ChangePattern 206
